antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'办公'}),frozenset({'服装'}),0.13668355555555556,0.48761244444444446,0.061803555555555556,0.4521652608783305,0.9273045961603783,1.0,-0.00484504708424692,0.9352958455629417,-0.08324669703023424,0.10987446349896653,-0.06918041467201604,0.2894562750822698
frozenset({'办公'}),frozenset({'电子产品'}),0.13668355555555556,0.483832,0.06165777777777778,0.4510987260110945,0.9323457853368412,1.0,-0.00447410027377778,0.9403658261693758,-0.07753498974097821,0.11032820912496125,-0.06341593045075532,0.28926753147908535
frozenset({'办公'}),frozenset({'食品'}),0.13668355555555556,0.4841413333333333,0.061328,0.44868601603704256,0.9267665971583557,1.0,-0.004846158831407411,0.9356894286601788,-0.0838557219016054,0.1096127632126641,-0.06873068068312785,0.2876798848533849
frozenset({'家居'}),frozenset({'服装'}),0.25068355555555555,0.48761244444444446,0.11420622222222222,0.4555792340232396,0.9343060030846801,1.0,-0.008030199084246917,0.9411609320894783,-0.0857864934080858,0.18299646347177967,-0.0625175417979715,0.3448971924267035
frozenset({'家居'}),frozenset({'电子产品'}),0.25068355555555555,0.483832,0.11309066666666667,0.45112917923969664,0.9324087270781938,1.0,-0.008198059384888878,0.9404180008785984,-0.08820926565234165,0.18198605927881872,-0.06335693177473874,0.34243435708734393
frozenset({'家居'}),frozenset({'食品'}),0.25068355555555555,0.4841413333333333,0.11298844444444445,0.4507214052953879,0.9309707192157137,1.0,-0.008377826386962953,0.93915668959225,-0.09004356166536598,0.1817012261888085,-0.0647850471407131,0.3420502276532479
frozenset({'母婴'}),frozenset({'服装'}),0.134848,0.48761244444444446,0.06122222222222222,0.4540091230290566,0.9310860052932541,1.0,-0.004531340686222227,0.9384544269277667,-0.07880884613220521,0.10908419953974781,-0.06558184532595351,0.2897821043354207
frozenset({'汽车用品'}),frozenset({'服装'}),0.13150755555555554,0.48761244444444446,0.059706666666666665,0.4540170062049667,0.9311021721815277,1.0,-0.004418053960691358,0.9384679768027906,-0.07851129847778014,0.10673086090189722,-0.0655664601437323,0.2882319884205137
frozenset({'玩具'}),frozenset({'服装'}),0.20086844444444443,0.48761244444444446,0.09100888888888889,0.45307708306597577,0.9291745693286886,1.0,-0.006937064318419756,0.9368551576297639,-0.08707779064182157,0.15232327019322894,-0.06740085898656101,0.319859466712183
frozenset({'服装'}),frozenset({'电子产品'}),0.48761244444444446,0.483832,0.22244977777777777,0.45620201106889985,0.9428934238927972,1.0,-0.013472726442666672,0.9491907114525924,-0.10570722330002089,0.29699781277184584,-0.05352906210981723,0.45798428917192924
frozenset({'电子产品'}),frozenset({'服装'}),0.483832,0.48761244444444446,0.22244977777777777,0.4597665672749586,0.9428934238927973,1.0,-0.013472726442666672,0.9484558424512421,-0.1050143201512248,0.29699781277184584,-0.05434534244160942,0.45798428917192924
frozenset({'运动户外'}),frozenset({'服装'}),0.13290133333333334,0.48761244444444446,0.06031555555555555,0.4538370988669957,0.9307332165898057,1.0,-0.004488788461037049,0.9381588432546728,-0.07904421131002312,0.10766823806811239,-0.0659175758880949,0.2887663921647015
frozenset({'服装'}),frozenset({'食品'}),0.48761244444444446,0.4841413333333333,0.22275377777777777,0.456825457011397,0.9435787146413107,1.0,-0.013319561225481474,0.9497106838408856,-0.10450335427744015,0.297401572466993,-0.05295224852660482,0.45846309029169674
frozenset({'食品'}),frozenset({'服装'}),0.4841413333333333,0.48761244444444446,0.22275377777777777,0.46010072357199644,0.9435787146413107,1.0,-0.013319561225481474,0.9490428639681336,-0.10387321366029684,0.297401572466993,-0.05369318706934339,0.45846309029169674
frozenset({'母婴'}),frozenset({'电子产品'}),0.134848,0.483832,0.06045244444444445,0.4483006380846913,0.9265626045501151,1.0,-0.00479133309155555,0.9355965143915406,-0.08392318771435416,0.1082935513354968,-0.0688368165312625,0.2866228760915326
frozenset({'母婴'}),frozenset({'食品'}),0.134848,0.4841413333333333,0.06050222222222222,0.4486697779887149,0.9267330572657466,1.0,-0.004783268295111109,0.9356618702758284,-0.08373059619444594,0.1083323518457802,-0.06876215839083527,0.2868189386474431
